neck_angle_deg,left_shoulder_angle_deg,right_shoulder_angle_deg,left_elbow_angle_deg,right_elbow_angle_deg,left_hip_angle_deg,right_hip_angle_deg,left_knee_angle_deg,right_knee_angle_deg,head_yaw_deg,head_pitch_deg,head_roll_deg
110.702,107.288,85.584,115.593,79.868,87.575,18.023,47.069,63.463,-168.796,-62.709,33.416
110.609,107.358,85.716,115.767,80.944,91.424,21.306,48.789,67.888,-168.262,-62.921,33.744
110.547,107.108,86.045,117.872,77.358,94.206,19.571,50.377,66.743,-168.396,-63.888,33.611
110.541,106.979,88.434,115.953,84.228,46.926,22.512,19.852,31.549,-167.198,-64.739,32.911
110.646,106.756,89.743,115.802,82.231,41.235,27.199,17.538,27.298,-169.392,-64.581,31.963
110.610,107.053,90.556,113.819,92.436,41.964,27.076,18.958,27.509,-170.939,-63.798,31.644
98.988,88.591,82.856,24.879,149.731,27.245,76.524,76.503,22.549,3.974,-47.552,26.677
99.012,88.836,81.585,24.869,150.592,27.380,76.313,76.746,22.585,11.022,-46.056,28.923
99.118,88.807,79.343,24.820,148.747,27.167,76.716,79.269,22.486,9.010,-45.183,25.980
110.831,107.381,83.467,106.069,86.378,99.631,22.723,38.536,79.226,142.528,-61.387,26.413
111.266,107.460,83.735,105.140,98.659,99.159,22.760,37.736,81.025,135.841,-62.519,26.361
111.112,107.447,83.982,106.313,101.979,100.110,24.597,38.534,83.790,125.861,-56.847,25.158
110.753,107.637,83.870,108.247,102.103,99.720,24.682,39.440,83.254,119.830,-58.334,25.251
110.327,107.582,83.193,109.075,102.736,99.957,25.687,43.244,84.946,119.929,-56.407,25.516
110.321,106.937,83.680,104.573,102.307,97.626,25.554,41.874,82.702,126.197,-57.331,25.213
110.189,106.952,83.641,101.457,102.321,97.826,26.181,39.903,81.807,125.310,-57.782,25.073
110.149,106.851,84.219,98.781,102.788,97.101,25.129,40.392,80.411,126.682,-57.834,25.161
110.025,107.049,84.365,96.396,101.765,96.950,24.419,40.373,80.044,134.978,-61.458,25.031
110.267,107.001,84.562,94.189,89.808,96.249,24.114,39.100,81.160,130.939,-59.523,24.125
110.341,106.414,84.685,92.971,84.818,100.020,26.446,40.565,86.336,138.365,-59.924,24.138
110.285,106.461,84.850,91.971,94.079,101.176,29.931,39.623,87.884,143.451,-63.198,24.801
110.558,106.170,84.337,91.610,100.858,100.526,29.598,39.530,87.062,139.286,-64.537,24.927
110.640,106.359,84.077,92.687,101.405,95.884,26.178,41.442,84.576,158.339,-64.581,26.692
110.690,106.673,84.061,91.410,104.819,92.727,24.260,42.106,81.715,160.750,-64.526,27.116
110.734,106.462,84.369,89.801,79.994,86.602,22.169,36.591,81.666,-176.528,-63.574,29.362
110.790,106.508,84.428,89.715,79.932,86.406,23.202,36.005,81.135,-170.339,-63.390,30.490
110.829,106.848,84.497,90.719,81.032,85.108,26.997,33.968,80.264,-165.216,-61.943,31.244
111.018,106.840,84.675,92.525,102.069,85.283,28.393,34.190,80.249,-164.528,-63.361,31.348
111.283,106.850,84.871,93.556,100.639,73.047,26.071,27.225,78.033,-168.891,-62.565,31.101
111.217,106.873,85.068,94.191,121.282,71.866,24.835,27.671,77.704,-176.016,-61.323,31.287
100.867,86.632,79.386,24.197,163.950,25.643,73.359,77.049,20.380,-3.108,-34.357,23.726
100.665,87.027,78.853,24.208,166.712,25.681,73.362,77.117,20.212,-0.221,-37.792,27.780
100.595,87.068,78.418,24.196,166.302,25.686,73.387,76.984,20.249,0.202,-34.994,25.936
110.836,106.692,85.513,92.372,90.323,29.416,8.402,14.795,46.554,174.480,-64.296,29.592
111.003,106.658,85.543,92.428,88.075,26.588,9.335,14.725,47.265,166.121,-65.726,29.005
111.215,106.476,85.451,90.876,87.690,24.434,9.162,12.614,49.747,162.759,-65.410,29.053
111.142,106.375,85.390,90.324,82.150,24.684,4.375,11.417,54.550,162.646,-65.643,28.938
100.992,85.915,82.096,24.248,158.276,24.198,72.416,74.278,19.783,-3.657,-52.098,39.101
101.266,85.957,82.044,24.204,160.269,24.230,72.507,74.509,19.809,-5.687,-50.278,39.663
100.526,86.204,81.231,24.068,155.265,23.211,69.351,65.710,18.442,2.259,-56.849,38.243
100.386,86.083,81.951,23.938,154.242,22.546,67.883,62.969,16.799,4.269,-57.030,38.714
100.488,86.119,80.334,23.867,154.033,22.318,67.105,64.059,14.875,3.380,-54.794,37.905
111.925,105.605,88.788,86.123,98.491,35.984,51.067,20.329,2.250,177.212,-66.406,28.892
112.008,105.605,90.217,86.236,98.159,38.701,55.270,19.475,2.572,174.349,-66.575,28.936
111.995,105.687,90.358,85.507,96.155,38.694,55.629,17.990,3.893,171.520,-66.465,29.021
111.916,105.654,90.159,85.512,96.704,46.304,57.153,14.868,3.788,169.723,-67.266,28.663
111.844,105.737,90.150,85.887,97.329,47.417,58.197,14.564,4.459,163.653,-67.467,28.493
111.912,105.743,89.754,86.216,96.333,47.915,58.311,14.777,3.678,168.465,-66.644,28.296
111.913,105.778,89.172,86.186,97.565,39.811,58.030,18.235,3.861,173.775,-66.842,28.400
111.714,105.916,88.957,85.913,97.646,38.433,57.552,18.632,3.830,175.224,-67.392,28.310
111.635,105.862,89.117,85.078,97.513,37.567,58.667,19.878,6.549,167.325,-67.596,27.698
111.532,105.945,89.349,85.383,98.487,39.160,58.780,19.117,6.680,172.917,-64.905,26.669
111.574,106.068,89.361,85.593,97.180,39.628,57.837,18.878,5.866,173.273,-65.317,26.539
111.699,106.216,89.701,87.085,96.751,45.158,57.682,15.367,5.452,171.238,-64.641,26.926
111.681,106.154,90.310,87.426,96.212,38.826,58.327,18.125,5.656,175.233,-66.481,28.013
111.668,105.958,90.325,87.524,96.212,39.833,59.111,17.912,5.644,173.669,-65.362,28.143
111.478,105.825,89.291,86.394,97.369,39.191,56.251,17.088,3.126,170.790,-65.839,28.020
111.294,105.887,88.868,86.041,97.657,29.198,55.715,25.495,2.248,172.968,-66.336,27.898
