frame,hips_pitch,hips_roll,hips_yaw,neck_pitch,neck_roll,neck_yaw,head_pitch,head_roll,head_yaw,L_shoulder_pitch,L_shoulder_roll,L_shoulder_yaw,L_elbow_pitch,L_elbow_roll,L_elbow_yaw,L_wrist_pitch,L_wrist_roll,L_wrist_yaw,R_shoulder_pitch,R_shoulder_roll,R_shoulder_yaw,R_elbow_pitch,R_elbow_roll,R_elbow_yaw,R_wrist_pitch,R_wrist_roll,R_wrist_yaw,L_hip_pitch,L_hip_roll,L_hip_yaw,L_knee_pitch,L_knee_roll,L_knee_yaw,L_ankle_pitch,L_ankle_roll,L_ankle_yaw,R_hip_pitch,R_hip_roll,R_hip_yaw,R_knee_pitch,R_knee_roll,R_knee_yaw,R_ankle_pitch,R_ankle_roll,R_ankle_yaw
0,45.03675642901465,-14.260191190828849,-177.56410367289456,20.915138434972025,98.43199678309126,-3.0291899774537634,16.876755830916952,-71.91832995478165,172.00556701077926,7.010730177879653,153.63365668951064,-34.95702778684997,0.5739823823335305,-177.13364061556695,-4.163318758374641,1.3124252789699618e-15,-1.9842710857468075e-15,1.004674071057149e-15,44.662016502416165,-111.70250342351551,-5.493988486276486,-1.7433492026175395,-176.58567177511367,19.749408618485507,1.2003315116992277e-15,1.4612482408951076e-15,-8.99137743114859e-16,13.002618072378258,167.83299853618297,-46.22098442875062,-17.125783568535283,169.1224123199151,9.259855044064746,2.2535411738345662e-15,1.518015003743886e-15,-1.70226235338091e-15,62.24340930670181,121.33478973428076,-28.315102769207023,2.5513537798329478,55.033767960995114,-64.01244168210786,-5.012403563792127e-16,2.2353303617612273e-15,8.739263045205192e-16
1,44.408318747268844,-13.793151057647604,-178.43751019369975,22.593261448334783,97.70909156213374,-2.97705163039102,16.02078536271261,-71.0225431032179,169.92495586376754,7.03225519272256,159.26369774787585,-40.69836791098311,0.10059856605234781,-179.66523884751516,-2.4824030245553605,2.638224283596763e-16,-6.587169784299425e-17,-1.2094915820117185e-15,38.51107192842766,-105.46824643514299,-13.001793517073194,1.1680233850848811,177.9632740527008,9.723743285819491,-1.6843311400844879e-15,-2.5608537195489423e-15,3.572642477655975e-15,7.989158454060043,169.9822040692308,-38.19560064097319,-10.00242107214771,172.3152112396972,13.260377657787688,1.911705415142025e-15,1.5438076298762111e-15,-2.076419411078655e-15,41.29326766179905,142.87583589263411,-41.08183480162781,-37.356494815112335,-150.1521741387318,-102.1036853899728,-2.254814765444558e-15,-4.783222536812656e-16,-8.613686942099973e-16
2,45.900805667,-13.414502307581,-179.0961189491889,21.386888018437666,97.23190385335728,-2.649417733884844,14.581503448928208,-72.78342896498273,169.5979505297367,6.826562281055601,162.657088126524,-42.38080868069144,0.30427500116552586,-179.15920133842494,-1.9872293439427342,-1.5404216971116084e-16,-1.0362802778478728e-15,-3.1530878327580626e-15,36.47103809161597,-106.74784877576036,-11.401222150973386,2.082402673529653,176.37729809595302,7.8126441899930805,-4.30587903466245e-15,-3.763817560844658e-15,1.448300797872871e-15,8.252174479100546,169.5235494042806,-37.81861007393994,-15.907279250702532,169.56611316278872,17.5277505752517,2.382154529273917e-15,-5.313480045574538e-16,1.4788397693683658e-15,37.46468271749499,143.59550598500576,-39.51939210341736,-29.751556544168533,-6.719047274393574,24.400146920529355,-5.497340330203053e-17,3.3146021731028933e-16,-2.9053012833796803e-16
3,43.820917130134276,-12.084377078631613,179.83945984543016,23.372250456844192,94.8449679341065,-1.925883668176298,13.607046810993854,-76.2875859192451,171.04443889365882,5.272659060219155,165.05769536042024,-42.44791808160575,22.165833891526155,166.06077142033467,-76.35365799277112,-3.1144586930725864e-15,3.89999569816425e-15,1.5071917129889295e-16,40.349753840275774,-106.87839430674924,-12.333121316970676,0.915066217709757,178.55967006859723,9.176719167038407,-1.3353468846875196e-15,3.186336482655173e-15,-3.395600950816632e-16,18.884879820755415,161.32410286334112,-43.75806051400419,-22.70807403840484,167.12014285952938,12.469417816594222,1.3681225409670127e-15,-2.500340068967318e-16,1.6643204909756654e-15,57.337188758496985,87.0424280436842,2.49050933212443,23.759352604872625,88.44545627498002,-56.74542830827042,-9.693460428766473e-16,5.096205659389049e-16,-3.4027507144913796e-16
4,42.78981536355126,-11.551874413712607,179.2239628125552,23.886691742218705,93.68707641307935,-1.494730115664726,13.014776577927055,-78.24908650778421,171.2176561345096,4.2723036964559,167.19981165121672,-42.08465275155877,0.5336021450663155,0.7579409967117369,16.510754775277046,5.861752350284853e-16,3.834658568226876e-15,4.961058300010453e-16,46.99457680991982,-104.03364143024882,-13.572106530066588,-0.8542023771879236,-178.95339835174207,8.643440429407347,1.2746768757827551e-15,-9.71390007714993e-16,2.7656621377922876e-15,45.083037599476015,138.56797872816577,-38.74050437221183,-43.8780697989772,145.55086924336598,-11.2854361418761,-5.831364232550354e-16,1.961550809142492e-15,-1.165203379318834e-15,34.258003077205544,38.76182294474984,35.03383033602968,10.504125518041953,129.47961908275835,-55.949613483943715,-2.3488913152366484e-15,-2.8936822748121745e-16,3.492296180317833e-16
5,40.132160789668056,-10.76257291138779,177.78126218066026,26.914713346245705,93.41064288128773,-1.545325563990405,14.532086929989136,-78.91102526173853,174.23926366329994,3.6638423807267704,163.90840487694246,-39.44605739082636,1.844212440800911,3.0015927919205767,18.53083043763197,1.0401695743284742e-15,4.555185395233071e-15,-1.1307605129883255e-17,44.999719144179195,-101.60671719821853,-18.692222682398825,-3.3783695075519335,-175.77764577619322,6.994561823275412,3.3866310529918222e-15,5.715938165834087e-16,-8.117994807002531e-16,58.13767108831909,111.20057476069935,-18.233894108526925,-47.228042617929255,114.7152840539608,-41.24060142407477,3.510663320144803e-15,-3.804373951048844e-15,-2.1775120062854565e-15,24.690689679524983,30.938737898821568,34.87220225436847,12.11598713977382,142.1790373208079,-56.93478743612133,-5.6516607941531025e-15,7.162160758984597e-16,2.0435126208753637e-15
6,40.50242596639055,-11.631296882019038,178.101108363206,42.8289229472941,83.3936835278716,4.501772546128496,44.19454286196224,-79.21316409287152,170.63681062558948,-0.3893010905188564,155.40206008687588,-42.168956390104526,10.386056483325957,17.135306083779135,31.251141501430386,1.2406334377266328e-15,-1.3545998232645309e-15,-1.448445761458898e-16,37.33194644437629,-100.74538858372547,-36.454322630492975,-2.6209910659151348,-176.03539075416944,4.404526747916869,1.0345897531077382e-15,8.666408495306408e-16,-1.1927556625432387e-15,59.28341081458744,65.99013315317463,20.953965554291806,-34.917244844407016,127.7175619153711,-37.631748654904385,3.0618727415567303e-15,-9.079684993395407e-16,1.282639103976346e-15,11.556033643146035,13.204738333745098,40.489951309951145,7.58406431722931,155.0878693887439,-57.6955925298319,-4.1431592734262645e-15,2.9152239575664656e-15,2.099870296940474e-15
7,-11.816448640577068,-25.936495200865863,159.89361046202032,-66.17532223664507,-72.70617763305174,15.897792680250289,-38.81483578020306,94.90831049390835,20.298424526801632,-4.778737018818027,-146.43514304761527,-74.29582334748129,-11.627757055241846,150.2898388222522,10.855599595815331,5.694800582633597e-16,2.074023621522207e-15,-1.5854221266906485e-16,-20.57973490266527,121.92509289633301,-54.78617473340762,0.19146974515652065,179.50383574716503,2.7628983046591733,-1.4468660311625186e-15,-1.5508539642699968e-15,-3.741111931923108e-16,-58.87950562462425,-79.02058552546313,9.429968625445328,31.73571100621713,-140.69398235672406,-26.624617118294744,-1.6558725170419698e-15,-3.536497774443252e-15,-9.481671121426015e-16,-17.43874089720797,-21.575139091803,37.15779289897801,-3.105715913377652,-141.0625017719685,-44.3416083956959,2.034359181991947e-15,-9.406666226575475e-17,-4.2262715311344e-16
8,-25.854761095196366,-43.91377021114258,138.03971033328125,-23.420630002471203,-69.19195494637371,8.58968933452559,-45.16285024881957,84.5589606518692,37.70186878364092,13.758278653870727,-135.56732831857138,-11.226955279953755,63.6691958810434,88.437250157029,20.678101745713565,4.636960096216184e-15,2.6911696500142284e-16,1.3409350231535793e-15,-2.775034834523969,119.6534713897614,-23.283707412556883,0.024632454830237193,178.48309817058998,2.2623261932676364,3.607251302618824e-15,2.279686691060435e-16,-1.229731561305448e-15,-30.760590550457433,-92.40613064447892,-1.2311545832155322,10.177424298597405,-164.0591071890809,0.9590953267524779,2.066017468211645e-15,-1.3896984339385678e-16,7.82365925098066e-16,-22.63493627497043,-40.864779551120826,23.981636106378033,11.567252071587088,-120.89844050156032,-25.666909799134835,-4.060920454331237e-15,1.5017621416809435e-15,7.950733627695295e-16
9,-24.808108991994303,-55.01898547640872,124.68085325178573,-12.880631781486008,-67.56084066594568,5.25979710105915,-40.32891138953779,86.08378220590515,54.55607948320148,-33.47442323350825,24.679201799261207,-64.09863701303462,-8.096008802717023,-174.74800115226546,0.8627399826210399,-3.740606300455969e-17,1.3303065462581574e-15,-4.604305364554445e-15,10.432212182055016,120.54730170176697,-19.995879926518644,0.7545598256359645,-176.1690734524032,-0.9412974049094011,-4.156389926816822e-15,7.4826878150115e-16,-7.418143688328866e-16,-9.172659782340203,-167.77852315439242,-36.35178058947604,-3.8069450878798614,175.923246322791,5.634708112788221,-1.5177803862567182e-15,-4.097930479868199e-15,3.7889354209754095e-16,-26.266426838739626,-60.97249128341236,13.797915329552975,28.059783777862766,-102.84488001256626,-23.318249013633388,4.4581819188779665e-16,1.7687976208175517e-15,2.3593724187355888e-15
