# model_type: yolov8-nano
timestamp,frame_id,fps,latency_ms,depth_m,j00_nose_x,j00_nose_y,j00_nose_z,j01_L_eye_x,j01_L_eye_y,j01_L_eye_z,j02_R_eye_x,j02_R_eye_y,j02_R_eye_z,j03_L_ear_x,j03_L_ear_y,j03_L_ear_z,j04_R_ear_x,j04_R_ear_y,j04_R_ear_z,j05_L_shoulder_x,j05_L_shoulder_y,j05_L_shoulder_z,j06_R_shoulder_x,j06_R_shoulder_y,j06_R_shoulder_z,j07_L_elbow_x,j07_L_elbow_y,j07_L_elbow_z,j08_R_elbow_x,j08_R_elbow_y,j08_R_elbow_z,j09_L_wrist_x,j09_L_wrist_y,j09_L_wrist_z,j10_R_wrist_x,j10_R_wrist_y,j10_R_wrist_z,j11_L_hip_x,j11_L_hip_y,j11_L_hip_z,j12_R_hip_x,j12_R_hip_y,j12_R_hip_z,j13_L_knee_x,j13_L_knee_y,j13_L_knee_z,j14_R_knee_x,j14_R_knee_y,j14_R_knee_z,j15_L_ankle_x,j15_L_ankle_y,j15_L_ankle_z,j16_R_ankle_x,j16_R_ankle_y,j16_R_ankle_z
1783645572.742,1,55.5,0.0,0.75,-0.103,-0.317,+0.046,-0.075,-0.354,+0.031,-0.120,-0.346,+0.039,+0.022,-0.364,+0.049,-0.111,-0.339,+0.051,+0.119,-0.163,-0.007,-0.065,-0.169,+0.239,+0.061,-0.038,-0.107,-0.196,-0.002,+0.127,-0.045,+0.061,+0.179,-0.327,+0.020,+0.070,+0.037,-0.029,-0.081,-0.037,+0.029,+0.081,-0.171,+0.025,+0.142,-0.640,+0.325,+2.104,-0.215,+0.024,+0.128,-0.258,+0.085,+0.925
1783645572.772,2,39.3,1783645422761.6,0.75,-0.103,-0.316,+0.049,-0.074,-0.354,+0.033,-0.120,-0.346,+0.042,+0.022,-0.363,+0.051,-0.110,-0.339,+0.054,+0.119,-0.162,-0.004,-0.065,-0.168,+0.242,+0.062,-0.037,-0.103,-0.195,-0.001,+0.130,-0.045,+0.062,+0.181,-0.328,+0.021,+0.072,+0.037,-0.029,-0.082,-0.037,+0.029,+0.082,-0.170,+0.025,+0.144,-0.641,+0.324,+2.107,-0.215,+0.025,+0.130,-0.288,+0.156,+1.296
1783645572.807,3,32.3,0.0,0.75,-0.103,-0.315,+0.051,-0.074,-0.353,+0.035,-0.120,-0.345,+0.047,+0.022,-0.362,+0.053,-0.110,-0.338,+0.057,+0.120,-0.161,-0.001,-0.065,-0.167,+0.246,+0.063,-0.035,-0.099,-0.196,+0.001,+0.132,-0.045,+0.063,+0.181,-0.328,+0.022,+0.075,+0.036,-0.029,-0.082,-0.036,+0.029,+0.082,-0.169,+0.026,+0.148,-0.640,+0.326,+2.112,-0.215,+0.026,+0.133,-0.289,+0.159,+1.313
1783645572.848,4,20.6,1783645422754.1,0.75,-0.103,-0.314,+0.054,-0.073,-0.351,+0.038,-0.119,-0.345,+0.053,+0.022,-0.361,+0.056,-0.110,-0.338,+0.061,+0.120,-0.160,+0.002,-0.065,-0.166,+0.249,+0.063,-0.034,-0.096,-0.197,+0.002,+0.135,-0.046,+0.063,+0.181,-0.328,+0.023,+0.078,+0.036,-0.029,-0.082,-0.036,+0.029,+0.082,-0.169,+0.027,+0.151,-0.639,+0.328,+2.118,-0.216,+0.026,+0.135,-0.290,+0.162,+1.329
1783645572.866,5,46.7,0.0,0.75,-0.103,-0.314,+0.053,-0.074,-0.352,+0.037,-0.120,-0.346,+0.053,+0.022,-0.362,+0.056,-0.110,-0.338,+0.060,+0.120,-0.160,+0.000,-0.066,-0.166,+0.249,+0.063,-0.035,-0.098,-0.198,+0.003,+0.134,-0.046,+0.062,+0.179,-0.328,+0.023,+0.079,+0.036,-0.029,-0.081,-0.036,+0.029,+0.081,-0.169,+0.026,+0.150,-0.639,+0.331,+2.120,-0.216,+0.025,+0.134,-0.261,+0.092,+0.960
1783645572.901,6,33.1,0.0,0.75,-0.103,-0.315,+0.052,-0.074,-0.352,+0.036,-0.120,-0.347,+0.053,+0.022,-0.362,+0.056,-0.111,-0.338,+0.059,+0.119,-0.160,-0.001,-0.067,-0.165,+0.249,+0.062,-0.036,-0.101,-0.200,+0.003,+0.132,-0.046,+0.061,+0.176,-0.328,+0.023,+0.079,+0.037,-0.029,-0.081,-0.037,+0.029,+0.081,-0.169,+0.025,+0.149,-0.638,+0.334,+2.122,-0.216,+0.024,+0.132,-0.232,+0.023,+0.591
1783645572.939,7,34.1,1783645422778.3,0.74,-0.103,-0.315,+0.050,-0.075,-0.353,+0.034,-0.121,-0.348,+0.053,+0.022,-0.363,+0.054,-0.111,-0.338,+0.057,+0.119,-0.160,-0.003,-0.067,-0.166,+0.247,+0.061,-0.037,-0.104,-0.200,+0.002,+0.130,-0.046,+0.060,+0.175,-0.327,+0.022,+0.078,+0.037,-0.029,-0.081,-0.037,+0.029,+0.081,-0.169,+0.027,+0.155,-0.638,+0.335,+2.124,-0.217,+0.023,+0.130,-0.237,+0.025,+0.597
1783645572.962,8,33.5,0.0,0.74,-0.103,-0.316,+0.049,-0.075,-0.354,+0.033,-0.121,-0.348,+0.050,+0.022,-0.364,+0.052,-0.111,-0.338,+0.055,+0.118,-0.161,-0.006,-0.066,-0.167,+0.243,+0.061,-0.038,-0.106,-0.199,+0.001,+0.128,-0.046,+0.061,+0.177,-0.326,+0.022,+0.076,+0.037,-0.029,-0.082,-0.037,+0.029,+0.082,-0.171,+0.028,+0.159,-0.639,+0.334,+2.122,-0.217,+0.023,+0.128,-0.270,+0.094,+0.957
1783645572.980,9,43.1,1783645422752.4,0.74,-0.103,-0.317,+0.047,-0.075,-0.355,+0.032,-0.121,-0.349,+0.047,+0.022,-0.364,+0.050,-0.112,-0.339,+0.052,+0.118,-0.162,-0.008,-0.066,-0.168,+0.239,+0.061,-0.038,-0.108,-0.198,-0.001,+0.125,-0.046,+0.061,+0.178,-0.325,+0.021,+0.075,+0.037,-0.029,-0.082,-0.037,+0.029,+0.082,-0.172,+0.029,+0.162,-0.641,+0.334,+2.120,-0.218,+0.022,+0.126,-0.304,+0.164,+1.318
1783645573.001,10,51.7,0.0,0.74,-0.103,-0.317,+0.046,-0.076,-0.355,+0.033,-0.121,-0.349,+0.047,+0.021,-0.364,+0.050,-0.112,-0.339,+0.051,+0.118,-0.163,-0.009,-0.066,-0.169,+0.238,+0.060,-0.039,-0.109,-0.199,-0.001,+0.124,-0.047,+0.055,+0.160,-0.325,+0.020,+0.072,+0.037,-0.029,-0.081,-0.037,+0.029,+0.081,-0.172,+0.029,+0.163,-0.640,+0.332,+2.119,-0.218,+0.021,+0.125,-0.303,+0.163,+1.317
1783645573.026,11,48.4,0.0,0.74,-0.104,-0.317,+0.045,-0.076,-0.356,+0.033,-0.122,-0.349,+0.046,+0.020,-0.364,+0.049,-0.113,-0.339,+0.050,+0.117,-0.163,-0.009,-0.066,-0.169,+0.236,+0.059,-0.039,-0.110,-0.199,-0.002,+0.122,-0.049,+0.049,+0.142,-0.326,+0.019,+0.070,+0.037,-0.029,-0.080,-0.037,+0.029,+0.080,-0.173,+0.029,+0.164,-0.639,+0.330,+2.118,-0.218,+0.021,+0.124,-0.303,+0.163,+1.316
1783645573.051,12,37.6,1783645422757.4,0.74,-0.104,-0.317,+0.045,-0.076,-0.356,+0.034,-0.122,-0.349,+0.047,+0.020,-0.364,+0.050,-0.113,-0.338,+0.050,+0.116,-0.164,-0.009,-0.067,-0.168,+0.237,+0.058,-0.040,-0.112,-0.201,-0.001,+0.122,-0.050,+0.042,+0.122,-0.328,+0.019,+0.069,+0.038,-0.028,-0.079,-0.038,+0.028,+0.079,-0.173,+0.027,+0.159,-0.638,+0.330,+2.118,-0.218,+0.020,+0.124,-0.269,+0.091,+0.940
1783645573.071,13,43.2,0.0,0.75,-0.104,-0.317,+0.045,-0.076,-0.356,+0.035,-0.122,-0.349,+0.047,+0.020,-0.364,+0.050,-0.113,-0.338,+0.050,+0.116,-0.164,-0.008,-0.067,-0.168,+0.239,+0.057,-0.040,-0.112,-0.202,-0.000,+0.122,-0.050,+0.041,+0.121,-0.328,+0.020,+0.070,+0.038,-0.028,-0.079,-0.038,+0.028,+0.079,-0.172,+0.024,+0.153,-0.638,+0.330,+2.118,-0.217,+0.020,+0.125,-0.235,+0.019,+0.565
1783645573.091,14,53.6,0.0,0.75,-0.104,-0.317,+0.045,-0.075,-0.356,+0.036,-0.122,-0.349,+0.048,+0.020,-0.364,+0.050,-0.113,-0.337,+0.050,+0.117,-0.164,-0.007,-0.068,-0.167,+0.241,+0.057,-0.040,-0.113,-0.203,+0.000,+0.123,-0.051,+0.041,+0.120,-0.329,+0.020,+0.071,+0.038,-0.028,-0.078,-0.038,+0.028,+0.078,-0.172,+0.022,+0.147,-0.638,+0.331,+2.119,-0.217,+0.020,+0.125,-0.201,-0.053,+0.190
1783645573.109,15,46.3,1783645422748.3,0.75,-0.104,-0.316,+0.045,-0.075,-0.356,+0.036,-0.122,-0.349,+0.049,+0.020,-0.364,+0.050,-0.113,-0.337,+0.050,+0.117,-0.164,-0.007,-0.068,-0.167,+0.243,+0.057,-0.040,-0.112,-0.202,+0.001,+0.124,-0.049,+0.047,+0.139,-0.329,+0.021,+0.074,+0.038,-0.028,-0.079,-0.038,+0.028,+0.079,-0.172,+0.022,+0.146,-0.639,+0.331,+2.119,-0.217,+0.021,+0.126,-0.201,-0.053,+0.191
1783645573.126,16,54.9,0.0,0.75,-0.104,-0.316,+0.045,-0.075,-0.356,+0.037,-0.121,-0.349,+0.049,+0.020,-0.364,+0.050,-0.112,-0.337,+0.050,+0.118,-0.163,-0.006,-0.068,-0.167,+0.244,+0.058,-0.040,-0.111,-0.202,+0.001,+0.125,-0.048,+0.054,+0.158,-0.328,+0.022,+0.076,+0.037,-0.029,-0.080,-0.037,+0.029,+0.080,-0.172,+0.023,+0.146,-0.640,+0.331,+2.120,-0.217,+0.021,+0.127,-0.201,-0.052,+0.192
1783645573.146,17,50.7,0.0,0.75,-0.103,-0.316,+0.046,-0.074,-0.355,+0.037,-0.121,-0.349,+0.050,+0.021,-0.364,+0.049,-0.112,-0.337,+0.050,+0.118,-0.163,-0.007,-0.067,-0.167,+0.245,+0.058,-0.039,-0.111,-0.201,+0.001,+0.126,-0.046,+0.059,+0.174,-0.327,+0.022,+0.077,+0.037,-0.029,-0.081,-0.037,+0.029,+0.081,-0.172,+0.024,+0.148,-0.639,+0.330,+2.117,-0.216,+0.023,+0.128,-0.201,-0.052,+0.191
1783645573.168,18,48.5,0.0,0.75,-0.104,-0.315,+0.046,-0.074,-0.355,+0.036,-0.121,-0.349,+0.050,+0.021,-0.364,+0.049,-0.112,-0.337,+0.050,+0.118,-0.163,-0.008,-0.067,-0.167,+0.244,+0.058,-0.040,-0.111,-0.200,+0.001,+0.126,-0.046,+0.058,+0.172,-0.328,+0.022,+0.076,+0.037,-0.029,-0.080,-0.037,+0.029,+0.080,-0.171,+0.024,+0.150,-0.637,+0.330,+2.114,-0.216,+0.023,+0.129,-0.200,-0.052,+0.189
