# model_type: yolo26-nano
timestamp,frame_id,fps,depth_m,j00_nose_x,j00_nose_y,j00_nose_z,j01_L_eye_x,j01_L_eye_y,j01_L_eye_z,j02_R_eye_x,j02_R_eye_y,j02_R_eye_z,j03_L_ear_x,j03_L_ear_y,j03_L_ear_z,j04_R_ear_x,j04_R_ear_y,j04_R_ear_z,j05_L_shoulder_x,j05_L_shoulder_y,j05_L_shoulder_z,j06_R_shoulder_x,j06_R_shoulder_y,j06_R_shoulder_z,j07_L_elbow_x,j07_L_elbow_y,j07_L_elbow_z,j08_R_elbow_x,j08_R_elbow_y,j08_R_elbow_z,j09_L_wrist_x,j09_L_wrist_y,j09_L_wrist_z,j10_R_wrist_x,j10_R_wrist_y,j10_R_wrist_z,j11_L_hip_x,j11_L_hip_y,j11_L_hip_z,j12_R_hip_x,j12_R_hip_y,j12_R_hip_z,j13_L_knee_x,j13_L_knee_y,j13_L_knee_z,j14_R_knee_x,j14_R_knee_y,j14_R_knee_z,j15_L_ankle_x,j15_L_ankle_y,j15_L_ankle_z,j16_R_ankle_x,j16_R_ankle_y,j16_R_ankle_z
1783498407.596,1,57.3,0.66,-0.031,-0.275,-0.046,+0.000,-0.310,-0.044,-0.042,-0.301,-0.039,+0.091,-0.305,-0.017,-0.035,-0.286,-0.042,+0.174,-0.114,-0.096,-0.083,-0.093,+0.103,+0.160,-0.045,-0.127,-0.162,+0.008,+0.069,+0.021,-0.011,+0.000,-0.212,+0.001,+0.028,+0.079,-0.024,-0.068,-0.079,+0.024,+0.068,-0.039,-0.005,+0.063,-0.154,-0.015,+0.073,-0.062,+0.025,+0.071,-0.185,+0.007,+0.021
1783498407.623,2,32.7,0.66,-0.031,-0.275,-0.046,+0.000,-0.310,-0.043,-0.042,-0.301,-0.039,+0.091,-0.305,-0.017,-0.036,-0.285,-0.042,+0.174,-0.113,-0.095,-0.083,-0.093,+0.104,+0.160,-0.045,-0.127,-0.163,+0.009,+0.069,+0.021,-0.011,+0.001,-0.214,+0.002,+0.033,+0.080,-0.024,-0.068,-0.080,+0.024,+0.068,-0.040,-0.005,+0.064,-0.154,-0.015,+0.074,-0.062,+0.025,+0.071,-0.185,+0.007,+0.021
1783498407.654,3,34.0,0.66,-0.030,-0.275,-0.046,+0.000,-0.310,-0.042,-0.041,-0.301,-0.038,+0.092,-0.305,-0.016,-0.035,-0.285,-0.042,+0.174,-0.113,-0.095,-0.083,-0.092,+0.105,+0.160,-0.046,-0.128,-0.162,+0.009,+0.069,+0.022,-0.011,+0.001,-0.216,+0.004,+0.038,+0.080,-0.024,-0.067,-0.080,+0.024,+0.067,-0.041,-0.005,+0.065,-0.155,-0.015,+0.075,-0.062,+0.025,+0.070,-0.185,+0.007,+0.020
1783498407.686,4,30.1,0.66,-0.030,-0.275,-0.045,+0.001,-0.310,-0.042,-0.041,-0.301,-0.038,+0.092,-0.305,-0.015,-0.035,-0.285,-0.042,+0.174,-0.113,-0.095,-0.083,-0.092,+0.105,+0.160,-0.046,-0.128,-0.161,+0.009,+0.068,+0.022,-0.012,+0.001,-0.218,+0.005,+0.044,+0.080,-0.024,-0.066,-0.080,+0.024,+0.066,-0.041,-0.004,+0.066,-0.156,-0.015,+0.075,-0.062,+0.025,+0.069,-0.184,+0.007,+0.020
1783498407.738,5,21.8,0.66,-0.030,-0.275,-0.046,+0.001,-0.310,-0.043,-0.041,-0.301,-0.039,+0.093,-0.305,-0.015,-0.034,-0.286,-0.043,+0.175,-0.114,-0.096,-0.082,-0.093,+0.104,+0.160,-0.046,-0.130,-0.161,+0.008,+0.066,+0.023,-0.012,+0.000,-0.218,+0.006,+0.047,+0.080,-0.023,-0.065,-0.080,+0.023,+0.065,-0.042,-0.005,+0.066,-0.157,-0.015,+0.074,-0.062,+0.024,+0.068,-0.184,+0.007,+0.019
1783498407.788,6,22.3,0.66,-0.030,-0.275,-0.046,+0.001,-0.310,-0.043,-0.040,-0.301,-0.039,+0.093,-0.305,-0.015,-0.034,-0.286,-0.042,+0.175,-0.114,-0.095,-0.082,-0.093,+0.105,+0.160,-0.046,-0.129,-0.161,+0.008,+0.065,+0.022,-0.012,+0.000,-0.218,+0.006,+0.048,+0.080,-0.023,-0.065,-0.080,+0.023,+0.065,-0.042,-0.004,+0.067,-0.157,-0.015,+0.075,-0.061,+0.024,+0.068,-0.183,+0.007,+0.019
1783498407.836,7,17.8,0.66,-0.030,-0.276,-0.046,+0.002,-0.310,-0.044,-0.040,-0.301,-0.040,+0.093,-0.306,-0.015,-0.034,-0.286,-0.043,+0.175,-0.114,-0.096,-0.082,-0.093,+0.104,+0.161,-0.046,-0.130,-0.161,+0.008,+0.066,+0.023,-0.012,-0.000,-0.215,+0.005,+0.043,+0.080,-0.023,-0.066,-0.080,+0.023,+0.066,-0.042,-0.005,+0.065,-0.157,-0.015,+0.074,-0.061,+0.024,+0.068,-0.183,+0.007,+0.019
1783498407.867,8,25.2,0.66,-0.030,-0.276,-0.047,+0.002,-0.310,-0.045,-0.040,-0.301,-0.041,+0.093,-0.306,-0.015,-0.034,-0.286,-0.044,+0.175,-0.114,-0.097,-0.082,-0.093,+0.102,+0.161,-0.046,-0.130,-0.162,+0.008,+0.066,+0.023,-0.012,-0.001,-0.212,+0.003,+0.038,+0.080,-0.024,-0.066,-0.080,+0.024,+0.066,-0.041,-0.005,+0.064,-0.157,-0.015,+0.073,-0.060,+0.025,+0.069,-0.182,+0.007,+0.019
1783498407.901,9,44.7,0.66,-0.030,-0.276,-0.047,+0.002,-0.310,-0.046,-0.040,-0.301,-0.043,+0.093,-0.306,-0.016,-0.034,-0.286,-0.045,+0.175,-0.114,-0.097,-0.081,-0.093,+0.101,+0.161,-0.046,-0.130,-0.162,+0.008,+0.066,+0.024,-0.012,-0.002,-0.209,+0.002,+0.032,+0.080,-0.024,-0.067,-0.080,+0.024,+0.067,-0.040,-0.005,+0.063,-0.157,-0.015,+0.072,-0.060,+0.025,+0.070,-0.182,+0.007,+0.018
1783498407.923,10,28.3,0.66,-0.030,-0.276,-0.047,+0.002,-0.310,-0.045,-0.040,-0.301,-0.042,+0.093,-0.306,-0.016,-0.034,-0.286,-0.044,+0.175,-0.114,-0.097,-0.081,-0.093,+0.102,+0.161,-0.046,-0.129,-0.162,+0.008,+0.067,+0.024,-0.012,-0.001,-0.207,+0.002,+0.029,+0.080,-0.024,-0.067,-0.080,+0.024,+0.067,-0.040,-0.005,+0.062,-0.156,-0.015,+0.073,-0.060,+0.025,+0.069,-0.181,+0.007,+0.019
