# model_type: yolo26-nano
timestamp,frame_id,fps,depth_m,j00_nose_x,j00_nose_y,j00_nose_z,j01_L_eye_x,j01_L_eye_y,j01_L_eye_z,j02_R_eye_x,j02_R_eye_y,j02_R_eye_z,j03_L_ear_x,j03_L_ear_y,j03_L_ear_z,j04_R_ear_x,j04_R_ear_y,j04_R_ear_z,j05_L_shoulder_x,j05_L_shoulder_y,j05_L_shoulder_z,j06_R_shoulder_x,j06_R_shoulder_y,j06_R_shoulder_z,j07_L_elbow_x,j07_L_elbow_y,j07_L_elbow_z,j08_R_elbow_x,j08_R_elbow_y,j08_R_elbow_z,j09_L_wrist_x,j09_L_wrist_y,j09_L_wrist_z,j10_R_wrist_x,j10_R_wrist_y,j10_R_wrist_z,j11_L_hip_x,j11_L_hip_y,j11_L_hip_z,j12_R_hip_x,j12_R_hip_y,j12_R_hip_z,j13_L_knee_x,j13_L_knee_y,j13_L_knee_z,j14_R_knee_x,j14_R_knee_y,j14_R_knee_z,j15_L_ankle_x,j15_L_ankle_y,j15_L_ankle_z,j16_R_ankle_x,j16_R_ankle_y,j16_R_ankle_z
1783500154.618,1,38.8,0.78,-0.059,-0.293,+0.117,-0.025,-0.329,+0.115,-0.091,-0.323,+0.127,+0.036,-0.325,+0.158,-0.118,-0.309,+0.146,+0.125,-0.121,+0.284,-0.197,-0.137,+0.172,+0.301,-0.007,+0.228,-0.266,+0.040,+0.147,+0.403,-0.173,+0.112,-0.145,+0.027,+0.101,+0.105,-0.059,-0.165,-0.105,+0.059,+0.165,+0.135,-0.069,-0.174,-0.054,+0.040,+0.175,+0.150,-0.084,-0.177,+0.009,+0.020,+0.227
1783500154.666,2,27.8,0.79,-0.061,-0.290,+0.124,-0.026,-0.326,+0.121,-0.092,-0.320,+0.133,+0.035,-0.323,+0.164,-0.119,-0.305,+0.153,+0.125,-0.119,+0.289,-0.198,-0.135,+0.179,+0.301,-0.006,+0.234,-0.268,+0.043,+0.156,+0.402,-0.171,+0.118,-0.144,+0.029,+0.107,+0.105,-0.060,-0.168,-0.105,+0.060,+0.168,+0.134,-0.070,-0.179,-0.054,+0.041,+0.177,+0.156,-0.054,-0.079,+0.009,+0.022,+0.233
1783500154.701,3,26.6,0.79,-0.062,-0.288,+0.132,-0.027,-0.323,+0.127,-0.093,-0.317,+0.139,+0.033,-0.321,+0.170,-0.120,-0.302,+0.159,+0.124,-0.117,+0.295,-0.198,-0.132,+0.185,+0.300,-0.004,+0.240,-0.269,+0.046,+0.165,+0.401,-0.169,+0.123,-0.142,+0.031,+0.112,+0.105,-0.061,-0.172,-0.105,+0.061,+0.172,+0.132,-0.072,-0.183,-0.054,+0.043,+0.180,+0.162,-0.025,+0.020,+0.009,+0.025,+0.240
1783500154.728,4,28.9,0.79,-0.062,-0.303,+0.088,-0.027,-0.340,+0.083,-0.093,-0.333,+0.094,+0.034,-0.336,+0.126,-0.120,-0.318,+0.114,+0.125,-0.133,+0.250,-0.198,-0.148,+0.141,+0.300,-0.020,+0.194,-0.266,+0.030,+0.118,+0.401,-0.185,+0.077,-0.140,+0.015,+0.067,+0.103,-0.046,-0.128,-0.103,+0.046,+0.128,+0.150,+0.005,+0.050,-0.052,+0.028,+0.138,+0.173,-0.013,+0.068,+0.012,+0.010,+0.197
1783500154.764,5,31.5,0.79,-0.062,-0.319,+0.044,-0.026,-0.356,+0.038,-0.092,-0.349,+0.049,+0.035,-0.352,+0.082,-0.120,-0.334,+0.070,+0.126,-0.149,+0.206,-0.197,-0.163,+0.096,+0.301,-0.035,+0.149,-0.264,+0.013,+0.072,+0.401,-0.200,+0.031,-0.138,-0.001,+0.023,+0.102,-0.030,-0.085,-0.102,+0.030,+0.085,+0.167,+0.083,+0.284,-0.050,+0.013,+0.096,+0.185,-0.002,+0.117,+0.014,-0.006,+0.155
1783500154.789,6,27.5,0.79,-0.061,-0.335,+0.001,-0.026,-0.372,-0.006,-0.091,-0.365,+0.004,+0.036,-0.368,+0.037,-0.120,-0.349,+0.025,+0.127,-0.165,+0.161,-0.196,-0.179,+0.052,+0.301,-0.051,+0.103,-0.261,-0.003,+0.025,+0.401,-0.215,-0.015,-0.136,-0.017,-0.022,+0.100,-0.015,-0.042,-0.100,+0.015,+0.042,+0.185,+0.160,+0.518,-0.048,-0.002,+0.055,+0.197,+0.010,+0.165,+0.017,-0.021,+0.113
1783500154.805,7,60.5,0.78,-0.059,-0.352,-0.047,-0.024,-0.389,-0.053,-0.089,-0.383,-0.043,+0.038,-0.385,-0.012,-0.118,-0.367,-0.023,+0.130,-0.182,+0.113,-0.194,-0.196,+0.004,+0.304,-0.068,+0.054,-0.252,-0.024,-0.035,+0.403,-0.233,-0.064,-0.134,-0.034,-0.071,+0.099,+0.001,+0.002,-0.099,-0.001,-0.002,+0.191,+0.174,+0.564,-0.047,-0.018,+0.013,+0.199,-0.008,+0.115,+0.019,-0.038,+0.064
1783500154.825,8,54.7,0.78,-0.058,-0.370,-0.095,-0.022,-0.407,-0.100,-0.087,-0.400,-0.090,+0.040,-0.402,-0.061,-0.116,-0.384,-0.072,+0.132,-0.199,+0.064,-0.193,-0.213,-0.045,+0.306,-0.085,+0.005,-0.242,-0.044,-0.096,+0.405,-0.250,-0.113,-0.132,-0.052,-0.120,+0.098,+0.016,+0.046,-0.098,-0.016,-0.046,+0.197,+0.188,+0.609,-0.046,-0.033,-0.029,+0.202,-0.026,+0.064,+0.022,-0.055,+0.016
1783500154.848,9,53.3,0.78,-0.056,-0.370,-0.095,-0.021,-0.407,-0.101,-0.086,-0.401,-0.091,+0.041,-0.402,-0.063,-0.114,-0.385,-0.074,+0.133,-0.200,+0.062,-0.192,-0.214,-0.046,+0.307,-0.086,+0.004,-0.234,-0.048,-0.109,+0.406,-0.250,-0.114,-0.130,-0.053,-0.121,+0.099,+0.016,+0.044,-0.099,-0.016,-0.044,+0.184,+0.125,+0.420,-0.046,-0.033,-0.030,+0.199,-0.027,+0.061,+0.022,-0.056,+0.013
1783500154.870,10,38.2,0.79,-0.056,-0.370,-0.096,-0.021,-0.408,-0.099,-0.086,-0.401,-0.090,+0.042,-0.402,-0.064,-0.113,-0.385,-0.074,+0.134,-0.200,+0.061,-0.192,-0.214,-0.046,+0.307,-0.086,+0.003,-0.224,-0.054,-0.125,+0.407,-0.251,-0.115,-0.130,-0.053,-0.121,+0.098,+0.015,+0.042,-0.098,-0.015,-0.042,+0.172,+0.062,+0.234,-0.046,-0.033,-0.029,+0.197,-0.027,+0.059,+0.023,-0.057,+0.012
