# model_type: yolo26-nano
timestamp,frame_id,fps,latency_ms,depth_m,j00_nose_x,j00_nose_y,j00_nose_z,j01_L_eye_x,j01_L_eye_y,j01_L_eye_z,j02_R_eye_x,j02_R_eye_y,j02_R_eye_z,j03_L_ear_x,j03_L_ear_y,j03_L_ear_z,j04_R_ear_x,j04_R_ear_y,j04_R_ear_z,j05_L_shoulder_x,j05_L_shoulder_y,j05_L_shoulder_z,j06_R_shoulder_x,j06_R_shoulder_y,j06_R_shoulder_z,j07_L_elbow_x,j07_L_elbow_y,j07_L_elbow_z,j08_R_elbow_x,j08_R_elbow_y,j08_R_elbow_z,j09_L_wrist_x,j09_L_wrist_y,j09_L_wrist_z,j10_R_wrist_x,j10_R_wrist_y,j10_R_wrist_z,j11_L_hip_x,j11_L_hip_y,j11_L_hip_z,j12_R_hip_x,j12_R_hip_y,j12_R_hip_z,j13_L_knee_x,j13_L_knee_y,j13_L_knee_z,j14_R_knee_x,j14_R_knee_y,j14_R_knee_z,j15_L_ankle_x,j15_L_ankle_y,j15_L_ankle_z,j16_R_ankle_x,j16_R_ankle_y,j16_R_ankle_z
1783582417.279,1,15.2,1783582392718.0,0.55,+5.036,-3.823,-9.954,+5.071,-3.833,-9.953,+5.015,-3.833,-9.953,+5.105,-3.855,-9.830,+4.983,-3.825,-9.945,+5.192,-3.660,-9.776,+4.867,-3.674,-9.842,+5.251,-3.495,-9.810,+5.121,-3.652,-9.814,+5.241,-3.496,-9.810,-2.636,+1.210,+3.692,+5.108,-3.497,-9.816,-5.108,+3.497,+9.816,+5.136,-3.527,-9.803,+4.971,-3.554,-9.856,+5.140,-3.494,-9.809,+5.146,-3.652,-9.813
1783582417.341,2,18.8,0.0,0.55,+5.017,-3.823,-9.954,+5.051,-3.833,-9.952,+4.995,-3.833,-9.952,+5.085,-3.855,-9.829,+4.963,-3.825,-9.944,+5.172,-3.660,-9.777,+4.848,-3.674,-9.843,+5.232,-3.495,-9.811,+5.039,-3.617,-9.825,+5.224,-3.496,-9.810,-0.972,+0.155,+0.775,+5.089,-3.497,-9.816,-5.089,+3.497,+9.816,+5.117,-3.527,-9.803,+4.952,-3.554,-9.856,+5.122,-3.494,-9.807,+3.353,-2.035,-5.384
1783582417.385,3,16.8,1783582392740.4,0.55,+4.998,-3.823,-9.955,+5.031,-3.833,-9.952,+4.975,-3.834,-9.951,+5.066,-3.856,-9.828,+4.943,-3.825,-9.943,+5.153,-3.660,-9.777,+4.829,-3.674,-9.843,+5.213,-3.495,-9.811,+4.957,-3.582,-9.835,+5.206,-3.496,-9.811,+0.691,-0.900,-2.142,+5.070,-3.497,-9.816,-5.070,+3.497,+9.816,+5.098,-3.527,-9.803,+4.934,-3.554,-9.856,+5.104,-3.493,-9.806,+1.560,-0.418,-0.954
1783582417.465,4,15.5,1783582392753.4,0.55,+3.718,-2.929,-7.500,+3.751,-2.940,-7.496,+3.694,-2.941,-7.494,+3.785,-2.962,-7.373,+3.662,-2.932,-7.487,+3.873,-2.767,-7.323,+3.549,-2.780,-7.388,+3.933,-2.601,-7.355,+3.613,-2.653,-7.391,+3.927,-2.602,-7.355,+1.033,-1.022,-2.603,+3.790,-2.603,-7.362,-3.790,+2.603,+7.362,+3.819,-2.633,-7.348,+3.654,-2.660,-7.402,+3.825,-2.599,-7.349,+0.279,+0.476,+1.500
1783582417.527,5,16.3,1783582392749.4,0.55,+2.437,-2.035,-5.045,+2.470,-2.047,-5.040,+2.413,-2.048,-5.038,+2.505,-2.069,-4.919,+2.381,-2.039,-5.031,+2.592,-1.873,-4.868,+2.269,-1.887,-4.934,+2.653,-1.706,-4.899,+2.269,-1.723,-4.946,+2.648,-1.708,-4.899,+1.374,-1.144,-3.064,+2.510,-1.710,-4.908,-2.510,+1.710,+4.908,+2.539,-1.739,-4.894,+2.374,-1.765,-4.947,+2.545,-1.704,-4.893,-1.001,+1.370,+3.953
1783582417.601,6,17.6,1783582392739.5,0.55,+2.411,-2.017,-5.046,+2.443,-2.029,-5.040,+2.386,-2.030,-5.039,+2.479,-2.052,-4.920,+2.355,-2.020,-5.034,+2.566,-1.854,-4.871,+2.242,-1.868,-4.935,+2.627,-1.688,-4.902,+2.247,-1.708,-4.957,+2.624,-1.690,-4.901,+2.375,-1.766,-4.895,+2.483,-1.690,-4.909,-2.483,+1.690,+4.909,+2.513,-1.720,-4.895,+2.347,-1.746,-4.949,+2.521,-1.686,-4.896,-1.029,+1.389,+3.954
1783582417.680,7,8.8,1783582392751.5,0.55,+1.176,-1.142,-2.588,+1.208,-1.155,-2.582,+1.151,-1.155,-2.581,+1.245,-1.177,-2.462,+1.121,-1.146,-2.576,+1.331,-0.979,-2.412,+1.008,-0.994,-2.478,+1.392,-0.812,-2.444,+1.011,-0.832,-2.499,+1.385,-0.814,-2.443,+0.149,-0.273,-0.783,+1.248,-0.816,-2.453,-1.248,+0.816,+2.453,+1.277,-0.844,-2.437,+1.111,-0.871,-2.490,+1.284,-0.811,-2.440,-0.490,+0.647,+1.980
1783582417.751,8,18.2,1783582392756.2,0.55,-0.085,-0.249,-0.133,-0.053,-0.262,-0.127,-0.110,-0.262,-0.126,-0.016,-0.284,-0.007,-0.140,-0.253,-0.121,+0.070,-0.085,+0.044,-0.252,-0.100,-0.024,+0.130,+0.082,+0.012,-0.252,+0.063,-0.042,+0.121,+0.080,+0.012,-2.183,+1.286,+3.468,-0.013,+0.078,+0.002,+0.013,-0.078,-0.002,+0.016,+0.050,+0.017,-0.151,+0.024,-0.035,+0.021,+0.083,+0.014,-3.594,+3.158,+8.973
1783582417.785,9,17.5,1783582392706.8,0.55,-0.084,-0.249,-0.134,-0.052,-0.262,-0.127,-0.109,-0.262,-0.126,-0.015,-0.285,-0.006,-0.140,-0.253,-0.121,+0.071,-0.085,+0.045,-0.252,-0.101,-0.024,+0.130,+0.082,+0.011,-0.253,+0.063,-0.040,+0.119,+0.080,+0.011,-3.191,+1.911,+5.263,-0.013,+0.078,+0.002,+0.013,-0.078,-0.002,+0.015,+0.050,+0.017,-0.152,+0.024,-0.034,+0.020,+0.082,+0.013,-7.211,+6.392,+17.942
1783582417.808,10,36.5,0.0,0.55,+0.757,-0.845,-1.750,+0.789,-0.857,-1.744,+0.732,-0.858,-1.743,+0.825,-0.881,-1.622,+0.701,-0.849,-1.737,+0.912,-0.681,-1.573,+0.590,-0.696,-1.642,+0.969,-0.516,-1.611,+0.588,-0.532,-1.657,+0.957,-0.517,-1.610,-3.697,+2.166,+6.077,+0.827,-0.518,-1.616,-0.827,+0.518,+1.616,+0.855,-0.545,-1.599,+0.687,-0.570,-1.647,+0.859,-0.515,-1.609,-7.417,+6.727,+18.828
