# model_type: yolo26-nano
timestamp,frame_id,fps,depth_m,j00_nose_x,j00_nose_y,j00_nose_z,j01_L_eye_x,j01_L_eye_y,j01_L_eye_z,j02_R_eye_x,j02_R_eye_y,j02_R_eye_z,j03_L_ear_x,j03_L_ear_y,j03_L_ear_z,j04_R_ear_x,j04_R_ear_y,j04_R_ear_z,j05_L_shoulder_x,j05_L_shoulder_y,j05_L_shoulder_z,j06_R_shoulder_x,j06_R_shoulder_y,j06_R_shoulder_z,j07_L_elbow_x,j07_L_elbow_y,j07_L_elbow_z,j08_R_elbow_x,j08_R_elbow_y,j08_R_elbow_z,j09_L_wrist_x,j09_L_wrist_y,j09_L_wrist_z,j10_R_wrist_x,j10_R_wrist_y,j10_R_wrist_z,j11_L_hip_x,j11_L_hip_y,j11_L_hip_z,j12_R_hip_x,j12_R_hip_y,j12_R_hip_z,j13_L_knee_x,j13_L_knee_y,j13_L_knee_z,j14_R_knee_x,j14_R_knee_y,j14_R_knee_z,j15_L_ankle_x,j15_L_ankle_y,j15_L_ankle_z,j16_R_ankle_x,j16_R_ankle_y,j16_R_ankle_z
1783500404.365,1,43.6,0.76,-0.072,-0.341,-0.060,-0.041,-0.378,-0.056,-0.101,-0.369,-0.050,+0.018,-0.380,+0.015,-0.122,-0.349,-0.040,+0.100,-0.193,+0.115,-0.206,-0.209,+0.042,+0.217,-0.016,+0.061,-0.271,-0.057,-0.047,+0.304,-0.016,-0.045,-0.247,-0.022,-0.046,+0.085,+0.013,+0.035,-0.085,-0.013,-0.035,+0.127,+0.014,+0.093,-0.051,-0.025,-0.027,+0.199,+0.023,+0.063,-0.030,-0.015,-0.032
1783500404.421,2,19.5,0.76,-0.070,-0.341,-0.061,-0.039,-0.378,-0.056,-0.099,-0.370,-0.050,+0.019,-0.380,+0.019,-0.120,-0.350,-0.043,+0.101,-0.192,+0.116,-0.206,-0.209,+0.041,+0.217,-0.016,+0.061,-0.270,-0.057,-0.049,+0.304,-0.016,-0.046,-0.247,-0.021,-0.046,+0.085,+0.013,+0.035,-0.085,-0.013,-0.035,+0.127,+0.014,+0.093,-0.049,-0.025,-0.027,+0.199,+0.022,+0.063,-0.027,-0.016,-0.032
1783500404.558,3,11.6,0.76,-0.068,-0.342,-0.062,-0.036,-0.379,-0.057,-0.097,-0.371,-0.052,+0.020,-0.382,+0.023,-0.118,-0.350,-0.046,+0.102,-0.192,+0.115,-0.205,-0.210,+0.041,+0.218,-0.016,+0.060,-0.270,-0.057,-0.048,+0.304,-0.016,-0.045,-0.246,-0.021,-0.045,+0.085,+0.013,+0.036,-0.085,-0.013,-0.036,+0.128,+0.014,+0.091,-0.047,-0.025,-0.028,+0.200,+0.022,+0.062,-0.025,-0.016,-0.034
1783500404.588,4,10.1,0.76,-0.065,-0.343,-0.063,-0.033,-0.380,-0.058,-0.094,-0.372,-0.053,+0.022,-0.382,+0.028,-0.115,-0.350,-0.048,+0.103,-0.192,+0.115,-0.204,-0.210,+0.041,+0.218,-0.016,+0.060,-0.268,-0.058,-0.052,+0.306,-0.014,-0.040,-0.245,-0.021,-0.047,+0.085,+0.013,+0.036,-0.085,-0.013,-0.036,+0.130,+0.014,+0.090,-0.045,-0.025,-0.028,+0.201,+0.022,+0.061,-0.023,-0.016,-0.034
1783500404.632,5,32.0,0.76,-0.062,-0.344,-0.063,-0.030,-0.381,-0.058,-0.090,-0.372,-0.055,+0.023,-0.383,+0.033,-0.112,-0.350,-0.050,+0.103,-0.192,+0.116,-0.204,-0.210,+0.041,+0.218,-0.015,+0.059,-0.265,-0.059,-0.056,+0.308,-0.013,-0.035,-0.244,-0.022,-0.048,+0.085,+0.013,+0.036,-0.085,-0.013,-0.036,+0.132,+0.014,+0.089,-0.043,-0.025,-0.028,+0.202,+0.022,+0.060,-0.021,-0.016,-0.034
1783500404.671,6,20.0,0.76,-0.060,-0.346,-0.063,-0.028,-0.381,-0.060,-0.088,-0.373,-0.057,+0.025,-0.383,+0.032,-0.110,-0.350,-0.052,+0.103,-0.192,+0.116,-0.204,-0.210,+0.040,+0.219,-0.015,+0.059,-0.265,-0.059,-0.056,+0.309,-0.012,-0.033,-0.244,-0.022,-0.049,+0.085,+0.013,+0.037,-0.085,-0.013,-0.037,+0.133,+0.013,+0.086,-0.041,-0.025,-0.028,+0.203,+0.022,+0.061,-0.019,-0.016,-0.035
1783500404.755,7,23.3,0.76,-0.058,-0.347,-0.064,-0.026,-0.382,-0.062,-0.085,-0.373,-0.059,+0.026,-0.382,+0.031,-0.109,-0.349,-0.053,+0.104,-0.192,+0.116,-0.203,-0.210,+0.040,+0.219,-0.015,+0.059,-0.265,-0.059,-0.057,+0.309,-0.011,-0.031,-0.243,-0.022,-0.050,+0.085,+0.013,+0.038,-0.085,-0.013,-0.038,+0.135,+0.013,+0.084,-0.039,-0.025,-0.029,+0.204,+0.022,+0.062,-0.017,-0.016,-0.036
1783500404.780,8,13.7,0.76,-0.056,-0.348,-0.063,-0.024,-0.382,-0.063,-0.084,-0.374,-0.058,+0.028,-0.382,+0.030,-0.107,-0.349,-0.054,+0.104,-0.192,+0.117,-0.203,-0.210,+0.040,+0.219,-0.014,+0.062,-0.265,-0.059,-0.057,+0.309,-0.011,-0.031,-0.242,-0.023,-0.053,+0.085,+0.013,+0.037,-0.085,-0.013,-0.037,+0.136,+0.013,+0.085,-0.039,-0.025,-0.028,+0.205,+0.023,+0.064,-0.017,-0.016,-0.035
1783500404.814,9,31.3,0.76,-0.056,-0.349,-0.063,-0.024,-0.382,-0.064,-0.084,-0.375,-0.056,+0.028,-0.381,+0.028,-0.107,-0.349,-0.055,+0.103,-0.192,+0.117,-0.203,-0.211,+0.040,+0.220,-0.014,+0.063,-0.266,-0.059,-0.054,+0.309,-0.012,-0.034,-0.242,-0.024,-0.055,+0.085,+0.013,+0.037,-0.085,-0.013,-0.037,+0.136,+0.013,+0.085,-0.039,-0.025,-0.027,+0.206,+0.023,+0.065,-0.018,-0.016,-0.035
1783500404.950,10,14.6,0.76,-0.056,-0.349,-0.063,-0.023,-0.382,-0.064,-0.084,-0.375,-0.057,+0.028,-0.381,+0.027,-0.107,-0.349,-0.056,+0.103,-0.193,+0.116,-0.203,-0.211,+0.040,+0.220,-0.014,+0.064,-0.269,-0.058,-0.050,+0.308,-0.013,-0.036,-0.242,-0.024,-0.055,+0.085,+0.014,+0.038,-0.085,-0.014,-0.038,+0.137,+0.012,+0.085,-0.039,-0.024,-0.027,+0.206,+0.023,+0.065,-0.018,-0.016,-0.036
