# model_type: yolov8-nano
timestamp,frame_id,fps,depth_m,j00_nose_x,j00_nose_y,j00_nose_z,j01_L_eye_x,j01_L_eye_y,j01_L_eye_z,j02_R_eye_x,j02_R_eye_y,j02_R_eye_z,j03_L_ear_x,j03_L_ear_y,j03_L_ear_z,j04_R_ear_x,j04_R_ear_y,j04_R_ear_z,j05_L_shoulder_x,j05_L_shoulder_y,j05_L_shoulder_z,j06_R_shoulder_x,j06_R_shoulder_y,j06_R_shoulder_z,j07_L_elbow_x,j07_L_elbow_y,j07_L_elbow_z,j08_R_elbow_x,j08_R_elbow_y,j08_R_elbow_z,j09_L_wrist_x,j09_L_wrist_y,j09_L_wrist_z,j10_R_wrist_x,j10_R_wrist_y,j10_R_wrist_z,j11_L_hip_x,j11_L_hip_y,j11_L_hip_z,j12_R_hip_x,j12_R_hip_y,j12_R_hip_z,j13_L_knee_x,j13_L_knee_y,j13_L_knee_z,j14_R_knee_x,j14_R_knee_y,j14_R_knee_z,j15_L_ankle_x,j15_L_ankle_y,j15_L_ankle_z,j16_R_ankle_x,j16_R_ankle_y,j16_R_ankle_z
1783500340.435,1,24.4,1.70,-0.070,-0.340,-0.039,-0.038,-0.378,-0.043,-0.099,-0.368,-0.035,+0.026,-0.379,-0.018,-0.129,-0.359,-0.003,+0.113,-0.202,+0.158,-0.199,-0.192,+0.056,+0.273,+0.005,+0.155,-0.247,-0.049,-0.045,+0.673,+0.296,+0.838,-0.200,-0.046,-0.070,+0.077,+0.009,+0.024,-0.077,-0.009,-0.024,+0.090,-0.041,+0.062,-0.031,-0.062,+0.010,+0.152,-0.023,+0.111,+0.161,-0.057,+0.158
1783500340.464,2,26.4,1.80,-0.072,-0.339,-0.036,-0.040,-0.377,-0.042,-0.102,-0.367,-0.031,+0.024,-0.378,-0.016,-0.131,-0.358,-0.001,+0.112,-0.202,+0.161,-0.200,-0.189,+0.059,+0.273,+0.003,+0.157,-0.247,-0.048,-0.042,+0.666,+0.284,+0.805,-0.201,-0.045,-0.068,+0.077,+0.008,+0.022,-0.077,-0.008,-0.022,+0.091,-0.039,+0.065,-0.031,-0.060,+0.012,+0.156,-0.018,+0.125,+0.159,-0.055,+0.160
1783500340.580,3,32.6,1.80,-0.074,-0.337,-0.034,-0.041,-0.375,-0.042,-0.105,-0.366,-0.027,+0.022,-0.377,-0.015,-0.133,-0.356,+0.001,+0.111,-0.202,+0.164,-0.201,-0.187,+0.062,+0.272,+0.002,+0.159,-0.248,-0.047,-0.040,+0.660,+0.272,+0.772,-0.202,-0.044,-0.065,+0.077,+0.007,+0.020,-0.077,-0.007,-0.020,+0.093,-0.037,+0.068,-0.032,-0.058,+0.013,+0.159,-0.013,+0.139,+0.156,-0.053,+0.162
1783500340.652,4,7.4,1.71,-0.075,-0.337,-0.034,-0.042,-0.375,-0.042,-0.105,-0.366,-0.029,+0.021,-0.377,-0.010,-0.130,-0.354,-0.006,+0.111,-0.202,+0.164,-0.200,-0.187,+0.062,+0.273,-0.001,+0.157,-0.251,-0.045,-0.033,+0.666,+0.270,+0.769,-0.203,-0.043,-0.065,+0.077,+0.007,+0.019,-0.077,-0.007,-0.019,+0.094,-0.037,+0.069,-0.031,-0.058,+0.015,+0.159,-0.012,+0.140,+0.158,-0.053,+0.162
1783500340.701,5,17.0,1.60,-0.075,-0.338,-0.036,-0.043,-0.376,-0.043,-0.105,-0.366,-0.031,+0.020,-0.379,-0.005,-0.130,-0.354,-0.009,+0.110,-0.204,+0.161,-0.200,-0.187,+0.060,+0.273,-0.005,+0.150,-0.251,-0.045,-0.033,+0.674,+0.274,+0.782,-0.203,-0.044,-0.067,+0.077,+0.007,+0.020,-0.077,-0.007,-0.020,+0.093,-0.037,+0.068,-0.030,-0.058,+0.013,+0.157,-0.014,+0.134,+0.158,-0.054,+0.157
1783500340.745,6,23.9,1.51,-0.076,-0.339,-0.039,-0.044,-0.377,-0.045,-0.106,-0.367,-0.033,+0.018,-0.381,+0.000,-0.129,-0.353,-0.016,+0.109,-0.205,+0.154,-0.200,-0.188,+0.059,+0.273,-0.009,+0.142,-0.251,-0.046,-0.035,+0.688,+0.281,+0.803,-0.203,-0.044,-0.068,+0.077,+0.007,+0.021,-0.077,-0.007,-0.021,+0.093,-0.038,+0.066,-0.029,-0.058,+0.011,+0.156,-0.016,+0.127,+0.158,-0.055,+0.150
1783500340.854,7,12.8,1.26,-0.076,-0.340,-0.044,-0.044,-0.378,-0.049,-0.105,-0.368,-0.040,+0.016,-0.384,+0.004,-0.127,-0.353,-0.026,+0.109,-0.207,+0.148,-0.200,-0.189,+0.055,+0.273,-0.014,+0.130,-0.250,-0.047,-0.039,+0.680,+0.270,+0.773,-0.202,-0.046,-0.072,+0.076,+0.009,+0.025,-0.076,-0.009,-0.025,+0.094,-0.039,+0.063,-0.028,-0.058,+0.009,+0.156,-0.019,+0.119,+0.159,-0.056,+0.140
1783500340.887,8,13.5,1.56,-0.078,-0.342,-0.049,-0.046,-0.380,-0.054,-0.106,-0.369,-0.046,+0.014,-0.387,+0.006,-0.125,-0.354,-0.035,+0.108,-0.210,+0.142,-0.200,-0.190,+0.050,+0.272,-0.019,+0.118,-0.247,-0.050,-0.049,+0.675,+0.261,+0.748,-0.203,-0.047,-0.076,+0.076,+0.010,+0.029,-0.076,-0.010,-0.029,+0.093,-0.041,+0.059,-0.028,-0.058,+0.006,+0.156,-0.021,+0.111,+0.161,-0.058,+0.131
1783500340.937,9,18.6,0.86,-0.079,-0.342,-0.049,-0.048,-0.380,-0.052,-0.108,-0.369,-0.046,+0.012,-0.388,+0.007,-0.127,-0.354,-0.034,+0.107,-0.210,+0.139,-0.201,-0.190,+0.051,+0.271,-0.022,+0.111,-0.245,-0.051,-0.053,+0.676,+0.261,+0.748,-0.204,-0.047,-0.075,+0.076,+0.011,+0.030,-0.076,-0.011,-0.030,+0.092,-0.041,+0.058,-0.028,-0.057,+0.006,+0.155,-0.021,+0.110,+0.159,-0.058,+0.124
1783500340.985,10,20.8,0.86,-0.080,-0.342,-0.048,-0.049,-0.381,-0.049,-0.109,-0.369,-0.044,+0.011,-0.387,+0.008,-0.126,-0.353,-0.037,+0.106,-0.210,+0.138,-0.201,-0.190,+0.053,+0.270,-0.023,+0.109,-0.242,-0.052,-0.057,+0.679,+0.261,+0.748,-0.205,-0.047,-0.074,+0.075,+0.010,+0.029,-0.075,-0.010,-0.029,+0.092,-0.040,+0.058,-0.028,-0.056,+0.007,+0.155,-0.020,+0.111,+0.159,-0.058,+0.121
1783500341.039,11,27.1,0.84,-0.081,-0.342,-0.049,-0.050,-0.381,-0.048,-0.110,-0.369,-0.044,+0.011,-0.388,+0.008,-0.126,-0.352,-0.038,+0.106,-0.211,+0.138,-0.200,-0.190,+0.053,+0.268,-0.024,+0.104,-0.243,-0.052,-0.057,+0.657,+0.241,+0.692,-0.205,-0.047,-0.074,+0.075,+0.010,+0.029,-0.075,-0.010,-0.029,+0.092,-0.040,+0.059,-0.028,-0.056,+0.006,+0.157,-0.019,+0.111,+0.159,-0.059,+0.118
