# model_type: yolov8-nano
timestamp,frame_id,fps,latency_ms,depth_m,j00_nose_x,j00_nose_y,j00_nose_z,j01_L_eye_x,j01_L_eye_y,j01_L_eye_z,j02_R_eye_x,j02_R_eye_y,j02_R_eye_z,j03_L_ear_x,j03_L_ear_y,j03_L_ear_z,j04_R_ear_x,j04_R_ear_y,j04_R_ear_z,j05_L_shoulder_x,j05_L_shoulder_y,j05_L_shoulder_z,j06_R_shoulder_x,j06_R_shoulder_y,j06_R_shoulder_z,j07_L_elbow_x,j07_L_elbow_y,j07_L_elbow_z,j08_R_elbow_x,j08_R_elbow_y,j08_R_elbow_z,j09_L_wrist_x,j09_L_wrist_y,j09_L_wrist_z,j10_R_wrist_x,j10_R_wrist_y,j10_R_wrist_z,j11_L_hip_x,j11_L_hip_y,j11_L_hip_z,j12_R_hip_x,j12_R_hip_y,j12_R_hip_z,j13_L_knee_x,j13_L_knee_y,j13_L_knee_z,j14_R_knee_x,j14_R_knee_y,j14_R_knee_z,j15_L_ankle_x,j15_L_ankle_y,j15_L_ankle_z,j16_R_ankle_x,j16_R_ankle_y,j16_R_ankle_z
1783582225.828,1,23.1,1783582126715.3,0.58,+4.766,-3.783,-9.762,+4.798,-3.810,-9.752,+4.732,-3.812,-9.753,+4.818,-3.820,-9.618,+4.683,-3.795,-9.738,+4.899,-3.589,-9.598,+4.595,-3.616,-9.721,+4.942,-3.444,-9.668,+4.604,-3.474,-9.753,+4.926,-3.443,-9.666,+4.610,-3.453,-9.662,+4.809,-3.446,-9.673,-4.809,+3.446,+9.673,+4.780,-3.446,-9.668,+4.729,-3.530,-9.714,+4.759,-3.447,-9.676,+4.934,-3.527,-9.620
1783582225.851,2,25.1,1783582126671.7,0.58,+5.968,-4.657,-12.216,+6.000,-4.685,-12.206,+5.934,-4.686,-12.208,+6.021,-4.694,-12.073,+5.884,-4.669,-12.192,+6.102,-4.463,-12.052,+5.797,-4.490,-12.176,+6.144,-4.318,-12.119,+5.805,-4.348,-12.206,+6.127,-4.317,-12.116,+5.811,-4.326,-12.113,+6.011,-4.320,-12.125,-6.011,+4.320,+12.125,+5.982,-4.319,-12.120,+5.931,-4.404,-12.169,+5.960,-4.320,-12.126,+6.137,-4.401,-12.073
1783582225.915,3,25.9,0.0,0.58,+5.970,-4.659,-12.219,+6.001,-4.686,-12.209,+5.936,-4.687,-12.212,+6.022,-4.695,-12.076,+5.886,-4.670,-12.196,+6.103,-4.464,-12.054,+5.799,-4.491,-12.179,+6.145,-4.318,-12.119,+5.806,-4.350,-12.209,+6.126,-4.317,-12.116,+5.810,-4.325,-12.113,+6.011,-4.320,-12.125,-6.011,+4.320,+12.125,+5.983,-4.319,-12.120,+5.930,-4.404,-12.168,+5.960,-4.320,-12.126,+6.138,-4.402,-12.073
1783582225.941,4,20.4,1783582126694.4,0.58,+4.211,-3.373,-8.611,+4.242,-3.400,-8.601,+4.177,-3.402,-8.604,+4.263,-3.409,-8.468,+4.128,-3.384,-8.589,+4.344,-3.179,-8.444,+4.040,-3.206,-8.571,+4.386,-3.032,-8.510,+4.048,-3.064,-8.601,+4.366,-3.031,-8.507,+4.051,-3.040,-8.506,+4.252,-3.034,-8.515,-4.252,+3.034,+8.515,+4.224,-3.033,-8.511,+4.168,-3.118,-8.553,+4.201,-3.034,-8.516,+4.378,-3.116,-8.462
1783582225.969,5,39.8,0.0,0.58,+4.760,-3.766,-9.712,+4.791,-3.793,-9.702,+4.726,-3.794,-9.705,+4.812,-3.801,-9.569,+4.677,-3.777,-9.690,+4.892,-3.571,-9.544,+4.588,-3.598,-9.672,+4.934,-3.423,-9.609,+4.597,-3.457,-9.703,+4.916,-3.423,-9.606,+4.600,-3.433,-9.608,+4.800,-3.425,-9.614,-4.800,+3.425,+9.614,+4.772,-3.425,-9.610,+4.714,-3.509,-9.647,+4.749,-3.426,-9.617,+4.926,-3.508,-9.560
1783582225.999,6,29.7,1783582126669.5,0.58,+5.867,-4.570,-11.970,+5.898,-4.597,-11.960,+5.833,-4.598,-11.963,+5.918,-4.605,-11.827,+5.783,-4.581,-11.948,+5.999,-4.376,-11.800,+5.695,-4.402,-11.930,+6.041,-4.227,-11.866,+5.704,-4.261,-11.962,+6.024,-4.227,-11.863,+5.707,-4.237,-11.865,+5.906,-4.229,-11.872,-5.906,+4.229,+11.872,+5.879,-4.229,-11.867,+5.819,-4.313,-11.900,+5.856,-4.231,-11.876,+6.031,-4.312,-11.816
1783582226.015,7,49.5,0.0,0.58,+4.665,-3.697,-9.518,+4.696,-3.723,-9.508,+4.631,-3.725,-9.511,+4.716,-3.731,-9.377,+4.581,-3.707,-9.496,+4.796,-3.503,-9.346,+4.493,-3.529,-9.478,+4.840,-3.353,-9.412,+4.502,-3.388,-9.510,+4.823,-3.353,-9.409,+4.504,-3.363,-9.411,+4.704,-3.356,-9.420,-4.704,+3.356,+9.420,+4.678,-3.356,-9.414,+4.617,-3.440,-9.448,+4.655,-3.358,-9.425,+4.828,-3.438,-9.359
1783582226.051,8,38.8,0.0,0.58,+4.664,-3.697,-9.517,+4.695,-3.723,-9.507,+4.630,-3.724,-9.510,+4.715,-3.730,-9.378,+4.579,-3.707,-9.493,+4.795,-3.503,-9.345,+4.492,-3.528,-9.477,+4.840,-3.352,-9.408,+4.501,-3.387,-9.508,+4.824,-3.352,-9.406,+4.503,-3.363,-9.409,+4.704,-3.356,-9.420,-4.704,+3.356,+9.420,+4.677,-3.356,-9.414,+4.618,-3.441,-9.452,+4.654,-3.358,-9.426,+4.828,-3.437,-9.356
1783582226.087,9,27.1,1783582126690.7,0.58,+4.663,-3.696,-9.516,+4.694,-3.722,-9.507,+4.629,-3.724,-9.509,+4.714,-3.730,-9.379,+4.577,-3.708,-9.490,+4.794,-3.502,-9.343,+4.490,-3.527,-9.476,+4.840,-3.351,-9.405,+4.499,-3.387,-9.507,+4.825,-3.351,-9.403,+4.501,-3.362,-9.408,+4.704,-3.356,-9.420,-4.704,+3.356,+9.420,+4.677,-3.356,-9.413,+4.620,-3.443,-9.456,+4.654,-3.358,-9.426,+4.828,-3.436,-9.352
1783582226.115,10,35.8,0.0,0.58,+2.353,-2.017,-4.804,+2.384,-2.043,-4.795,+2.319,-2.045,-4.797,+2.405,-2.051,-4.669,+2.267,-2.029,-4.778,+2.484,-1.824,-4.631,+2.181,-1.849,-4.763,+2.530,-1.671,-4.691,+2.190,-1.708,-4.795,+2.514,-1.671,-4.689,+2.191,-1.683,-4.693,+2.394,-1.677,-4.706,-2.394,+1.677,+4.706,+2.367,-1.678,-4.702,+2.312,-1.765,-4.749,+2.344,-1.680,-4.717,+2.518,-1.757,-4.637
